source_id,duplicate_of,decision,notes
NEWS_2025_MX_heineken-yucatan-water_N001,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2025_IN_chhatarpur-toxic-discharge_N002,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2025_US_island-brewing-noise_N003,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2019_US_maui-clean-water-brewers_N004,,included,No duplicate identified; multilingual/original-language fields retained
ARTICLE_2017_US_neighborhood-change-pint_A001,,included,No duplicate identified; multilingual/original-language fields retained
ARTICLE_2018_US_craft-breweries-local-characteristics_A002,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2020_US_brewery-pollution-prevention_R001,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2020_US_brewery-wastewater-bmps_R002,,included,No duplicate identified; multilingual/original-language fields retained
ARTICLE_2026_GLOBAL_small-breweries-footprints_A003,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2019_MX_constellation-mexicali-water_N005,,included,No duplicate identified; multilingual/original-language fields retained
ARTICLE_2021_MX_resistencias-cervecera-mexicali_A004,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2024_AR_ogham-bariloche-noise_N006,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2017_AR_boom-cervecerias-ruidos_N007,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2022_BR_delta-porto-alegre-noise_N008,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2020_BR_belorizontina-contaminacao_N009,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2024_FR_microbrasseries-eau-effluents_R003,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2023_FR_biere-impact-eau_R004,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2019_NL_davo-brouwerij-overlast_N010,,included,No duplicate identified; multilingual/original-language fields retained
LEGAL_2021_NL_biercafe-geluidsoverlast_L001,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2024_BE_vlarem-microbrouwerijen-afvalwater_R005,,included,No duplicate identified; multilingual/original-language fields retained
NEWS_2026_DE_bier-aus-klaeranlage_N011,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2019_IT_effluenti-industria-birra_R006,,included,No duplicate identified; multilingual/original-language fields retained
REPORT_2025_IT_molestia-movida-rumore_R007,,included,No duplicate identified; multilingual/original-language fields retained
