record_id,source_id,source_type,title,authors_or_organization,publication_year,publication_date,outlet_or_journal,country,region_city_watershed,geographic_coordinates_if_available,brewery_or_actor,affected_group,conflict_type,injustice_type,environmental_mechanism,water_issue,racism_or_discrimination_dimension,supply_chain_stage,evidence_summary,short_supporting_excerpt,methods_or_evidence_type,outcome_or_status,legal_or_policy_response,severity_level,confidence_level,doi,source_url,pdf_or_capture_path,full_text_access_status,download_status,abstract_available,abstract_used_for_coding,full_text_needed,full_text_request_note,access_date,notes,original_language,original_title,english_title,original_supporting_excerpt,english_supporting_excerpt,translation_note
N001,NEWS_2025_MX_heineken-yucatan-water_N001,news,Trouble brewing: Maya people in Yucatán fear new Heineken plant’s thirst for water,Irene Wang / The Guardian,2025,2025-10-04,The Guardian,Mexico,"Kanasín, Mérida, Yucatán; Cenote Ring aquifer",,Heineken brewery project,Maya communities; Múuch’ Xíinbal; water-insecure households,water_extraction_or_competition,indigenous_rights_violation,groundwater_depletion,Concern over groundwater extraction and wastewater contamination in a karst aquifer region,Indigenous consent and cultural survival concerns are reported; do not infer beyond source claims,brewing/manufacturing,"Maya land-rights advocates oppose a planned Heineken brewery near Mérida, arguing that the project threatens groundwater access, pollution control, consultation rights, and cultural survival. The company says it consulted communities and plans water efficiency and reuse measures.",Indigenous groups in Mexico opposed to the planned brewery say families already have little access to water.,"news reporting with community statements, company responses, and linked studies/official context",Project announced; opposition ongoing; no reported final legal resolution in source,"Free, prior and informed consent concerns; company references consultation and water feasibility study",high,medium,,https://www.theguardian.com/global-development/2025/oct/04/maya-heineken-brewery-yucatan-mexico-cenote-ring,sources/news/NEWS_2025_MX_heineken-yucatan-water_N001.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,News page represented as metadata/evidence summary only; no full-page PDF capture stored.,English,Trouble brewing: Maya people in Yucatán fear new Heineken plant’s thirst for water,Trouble brewing: Maya people in Yucatán fear new Heineken plant’s thirst for water,Indigenous groups in Mexico opposed to the planned brewery say families already have little access to water.,Indigenous groups in Mexico opposed to the planned brewery say families already have little access to water.,Original source language is English; no translation needed.
N002,NEWS_2025_IN_chhatarpur-toxic-discharge_N002,news,NGT orders probe into toxic discharge from Chhatarpur brewery,Ashutosh Shukla / The Times of India,2025,2025-10-22,The Times of India,India,"Naugaon, Chhatarpur district, Madhya Pradesh",,Unnamed brewery at Naugaon,Residents of Naugaon and nearby villages; crops and local water users,contamination_or_pollution,distributive_injustice,wastewater_discharge,Alleged toxic wastewater and chemical waste contaminating local water sources,unclear,brewing/manufacturing,"India’s National Green Tribunal took suo motu cognisance of reports alleging toxic brewery wastewater and chemical waste affected water, crops, odors, and public health, and ordered a joint inspection and action-taken report.",NGT set up a joint committee to inspect the site and submit a factual and action-taken report.,"news report describing tribunal order, alleged contamination, public hearing, and resident complaints","Joint committee ordered; next hearing reported for November 20, 2025",National Green Tribunal proceeding; MPPCB and district administration directed to report,high,medium,,https://timesofindia.indiatimes.com/city/bhopal/ngt-orders-probe-into-toxic-discharge-from-chhatarpur-brewery/articleshow/124729061.cms,sources/news/NEWS_2025_IN_chhatarpur-toxic-discharge_N002.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,News page represented as metadata/evidence summary only; allegations require official case-file confirmation.,English,NGT orders probe into toxic discharge from Chhatarpur brewery,NGT orders probe into toxic discharge from Chhatarpur brewery,NGT set up a joint committee to inspect the site and submit a factual and action-taken report.,NGT set up a joint committee to inspect the site and submit a factual and action-taken report.,Original source language is English; no translation needed.
N003,NEWS_2025_US_island-brewing-noise_N003,news,"Carpinteria Residents Sue City, Island Brewing Co. Over Live Music",Rebecca Caraway / Noozhawk,2025,2025-09-17,Noozhawk,United States,"Carpinteria, Santa Barbara County, California",,Island Brewing Co.; City of Carpinteria,Nearby residents Stephen and Mary Eileen Marcussen; residential neighbors,odor_noise_or_traffic,procedural_injustice,noise,not applicable,unclear,brewery taproom/entertainment operations,"Residents sued Island Brewing Co. and the City of Carpinteria over live outdoor music, alleging noise impacts and inadequate city enforcement after many complaints and ordinance changes. Brewery supporters argue live music supports local business and musicians.",The lawsuit claims Carpinteria received 78 noise complaints related to live music at Island Brewing.,"local news report on lawsuit, city ordinance context, and parties’ positions","Case management conference scheduled for December 19, 2025, per source",Municipal noise code and live-entertainment licensing dispute,moderate,medium,,https://www.noozhawk.com/carpinteria-residents-sue-city-island-brewing-co-over-live-music/,sources/news/NEWS_2025_US_island-brewing-noise_N003.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,News page represented as metadata/evidence summary only; court filings would strengthen legal outcome coding.,English,"Carpinteria Residents Sue City, Island Brewing Co. Over Live Music","Carpinteria Residents Sue City, Island Brewing Co. Over Live Music",The lawsuit claims Carpinteria received 78 noise complaints related to live music at Island Brewing.,The lawsuit claims Carpinteria received 78 noise complaints related to live music at Island Brewing.,Original source language is English; no translation needed.
N004,NEWS_2019_US_maui-clean-water-brewers_N004,news,How a Supreme Court case about water pollution could impact craft beer,Cathy Siegner / Food Dive,2019,2019-10-17,Food Dive,United States,"Maui, Hawaii; national craft-brewer amici",,60 craft breweries; Maui County; environmental plaintiffs,Craft brewers dependent on clean water; downstream water users,regulatory_noncompliance,unclear_or_not_applicable,groundwater_depletion,Clean Water Act dispute over wastewater reaching ocean through groundwater,unclear,policy/regulatory environment affecting brewing water inputs,Food Dive reported that 60 craft breweries asked the U.S. Supreme Court to uphold Clean Water Act protections in County of Maui v. Hawaiʻi Wildlife Fund because groundwater-mediated pollution could harm brewing water.,A group of 60 craft breweries asked the U.S. Supreme Court to uphold the Clean Water Act.,trade news report with links to Supreme Court amicus brief and case context,Case pending at time of article; later resolved by Supreme Court in 2020 (not coded from this source),Clean Water Act permitting for indirect discharges through groundwater,moderate,medium,,https://www.fooddive.com/news/how-a-supreme-court-case-about-water-pollution-could-impact-craft-beer/565176/,sources/news/NEWS_2019_US_maui-clean-water-brewers_N004.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,"Included because it documents brewery participation in a water-pollution legal conflict, not a consumer beer recommendation.",English,How a Supreme Court case about water pollution could impact craft beer,How a Supreme Court case about water pollution could impact craft beer,A group of 60 craft breweries asked the U.S. Supreme Court to uphold the Clean Water Act.,A group of 60 craft breweries asked the U.S. Supreme Court to uphold the Clean Water Act.,Original source language is English; no translation needed.
A001,ARTICLE_2017_US_neighborhood-change-pint_A001,scholarly_article,"Neighborhood Change, One Pint at a Time: The Impact of Local Characteristics on Craft Breweries","Jesus M. Barajas, Geoff Boeing, Paul Wartell",2017,2017,Book chapter / SSRN preprint copy,United States,U.S. census tracts; urban neighborhoods,,Craft breweries and brewpubs,Urban residents; lower-income residents and racial/ethnic minority groups discussed in gentrification literature,gentrification_or_displacement,economic_exclusion,land_conversion,not applicable,Paper discusses racial composition and displacement literature; causality is not established,brewery siting/neighborhood redevelopment,"Open PDF chapter analyzes relationships between craft brewery locations and neighborhood change, noting breweries can be entangled with gentrification and that planners should consider displacement risks. It does not prove breweries cause displacement.",Craft beer is entangled with the process of neighborhood change.,scholarly quantitative analysis and literature review,Research finding; recommends planners recognize brewery revitalization while protecting residents from displacement,Urban planning and local economic-development policy context,unknown,medium,,https://jmbarajas.com/publication/beer-chapter/beer-chapter.pdf,sources/metadata_only/ARTICLE_2017_US_neighborhood-change-pint_A001.md,unknown,metadata_only_full_text_needed,yes,no,yes,"Open PDF URL identified, but automated download failed in this environment; retrieve directly from source URL for full-text confirmation.",2026-06-26,PDF URL identified but not downloaded because automated retrieval returned a 403/tunnel error in this environment; coding uses visible metadata/snippets and needs direct full-text confirmation.,English,"Neighborhood Change, One Pint at a Time: The Impact of Local Characteristics on Craft Breweries","Neighborhood Change, One Pint at a Time: The Impact of Local Characteristics on Craft Breweries",Craft beer is entangled with the process of neighborhood change.,Craft beer is entangled with the process of neighborhood change.,Original source language is English; no translation needed.
A002,ARTICLE_2018_US_craft-breweries-local-characteristics_A002,scholarly_article,The Impact of Local Characteristics on Craft Breweries,"Geoff Boeing, Jesus M. Barajas, Paul Wartell",2018,2018-02-08,arXiv,United States,U.S. neighborhoods,,Craft breweries and brewpubs,Residents in neighborhoods experiencing revitalization/displacement risk,gentrification_or_displacement,economic_exclusion,land_conversion,not applicable,"unclear; demographic characteristics analyzed, but justice claims require careful full-text interpretation",brewery siting/neighborhood redevelopment,Open arXiv paper studies how local characteristics relate to craft brewery locations and explicitly advises planners to protect residents from potential displacement while recognizing revitalization roles.,Protecting residents from potential displacement.,scholarly quantitative analysis,Research recommendation for urban planners,Urban planning and zoning/economic-development context,unknown,medium,,https://arxiv.org/pdf/1802.03140,sources/metadata_only/ARTICLE_2018_US_craft-breweries-local-characteristics_A002.md,unknown,metadata_only_full_text_needed,yes,no,yes,"Open PDF URL identified, but automated download failed in this environment; retrieve directly from source URL for full-text confirmation.",2026-06-26,PDF URL identified but not downloaded because automated retrieval returned a 403/tunnel error in this environment; coding uses visible metadata/snippets and needs direct full-text confirmation.,English,The Impact of Local Characteristics on Craft Breweries,The Impact of Local Characteristics on Craft Breweries,Protecting residents from potential displacement.,Protecting residents from potential displacement.,Original source language is English; no translation needed.
R001,REPORT_2020_US_brewery-pollution-prevention_R001,government_record,Pollution Prevention: Brewing Success with P2 Grantees,U.S. EPA / Connecticut Department of Energy and Environmental Protection-hosted factsheet,2020,2020-10,CT.gov / EPA Pollution Prevention,United States,United States,,Breweries generally,Municipal wastewater systems and communities near brewery discharges,wastewater_or_effluent,unclear_or_not_applicable,organic_load_or_bod_cod,High-volume brewery wastewater and byproducts can burden wastewater systems,unclear,brewing/manufacturing wastewater management,"Government factsheet explains that beer production yields significant waste byproducts, wastewater effluents, and air emissions that can be financially and environmentally costly to breweries and communities.","Beer production yields significant quantities of waste byproducts, wastewater effluents, and air emissions.",government pollution-prevention factsheet,Pollution-prevention guidance rather than a specific conflict case,Pollution prevention and permitting context,low,medium,,https://portal.ct.gov/-/media/DEEP/p2/business_industry/Breweries/P2-Brewery-Factsheet_Oct2020EPA.pdf,sources/metadata_only/REPORT_2020_US_brewery-pollution-prevention_R001.md,unknown,metadata_only_full_text_needed,no,no,yes,"Open PDF URL identified, but automated download failed in this environment; retrieve directly from source URL for full-text confirmation.",2026-06-26,PDF URL identified but not downloaded because automated retrieval returned a 403/tunnel error in this environment; coding uses visible metadata/snippets and needs direct full-text confirmation.,English,Pollution Prevention: Brewing Success with P2 Grantees,Pollution Prevention: Brewing Success with P2 Grantees,"Beer production yields significant quantities of waste byproducts, wastewater effluents, and air emissions.","Beer production yields significant quantities of waste byproducts, wastewater effluents, and air emissions.",Original source language is English; no translation needed.
R002,REPORT_2020_US_brewery-wastewater-bmps_R002,government_record,Wastewater Best Management Practices for Breweries,New Hampshire Department of Environmental Services,2020,2020-01,NH Department of Environmental Services,United States,New Hampshire; general brewery wastewater guidance,,Breweries generally,"Wastewater treatment facilities, sewer infrastructure, and receiving environments",wastewater_or_effluent,unclear_or_not_applicable,effluent_treatment,Brewery wastewater pH and strength can corrode sewers and affect wastewater treatment,unclear,brewing/manufacturing wastewater management,"Government BMP document describes brewery wastewater risks, including pH and treatment plant impacts, and provides management practices relevant to preventing environmental conflicts.",Wastewater that is too acidic or too alkaline can seriously corrode the sewer system.,government technical guidance,Preventive BMP guidance rather than a specific dispute,Wastewater pretreatment and sewer protection guidance,low,medium,,https://www.des.nh.gov/sites/g/files/ehbemt341/files/documents/2020-01/wastewater-bmps-breweries.pdf,sources/metadata_only/REPORT_2020_US_brewery-wastewater-bmps_R002.md,unknown,metadata_only_full_text_needed,no,no,yes,"Open PDF URL identified, but automated download failed in this environment; retrieve directly from source URL for full-text confirmation.",2026-06-26,PDF URL identified but not downloaded because automated retrieval returned a 403/tunnel error in this environment; coding uses visible metadata/snippets and needs direct full-text confirmation.,English,Wastewater Best Management Practices for Breweries,Wastewater Best Management Practices for Breweries,Wastewater that is too acidic or too alkaline can seriously corrode the sewer system.,Wastewater that is too acidic or too alkaline can seriously corrode the sewer system.,Original source language is English; no translation needed.
A003,ARTICLE_2026_GLOBAL_small-breweries-footprints_A003,metadata_only,"Small Breweries, Large Footprints? Environmental Implications of Craft Brewing",Article metadata visible on publisher page,2026,2026,Environments,Global,Global / craft brewing sector,,Craft breweries generally,Aquatic ecosystems and communities affected by brewery waste streams (general),wastewater_or_effluent,unclear_or_not_applicable,organic_load_or_bod_cod,Organically rich brewery waste and wastewater implications,unclear,brewing/manufacturing,"Publisher metadata/snippet indicates the article discusses environmental implications of craft brewing, including organically rich waste across aquatic systems. Full-text review is needed before detailed conflict coding.",Rapid expansion of the craft brewing sector has increased organically rich waste.,publisher metadata/snippet only,unclear,unclear,unknown,low,,https://www.mdpi.com/2076-3298/13/3/164,sources/metadata_only/ARTICLE_2026_GLOBAL_small-breweries-footprints_A003.md,unknown,metadata_only_full_text_needed,unknown,yes,yes,Full text needed for confirmation.,2026-06-26,Full text not downloaded; table coding is based on metadata and abstract/snippet only. Full text access is needed for confirmation.,English,"Small Breweries, Large Footprints? Environmental Implications of Craft Brewing","Small Breweries, Large Footprints? Environmental Implications of Craft Brewing",Rapid expansion of the craft brewing sector has increased organically rich waste.,Rapid expansion of the craft brewing sector has increased organically rich waste.,Original source language is English; no translation needed.
N005,NEWS_2019_MX_constellation-mexicali-water_N005,news,"In Baja California, they choose between water and beer",Alejandra Cuéllar / Dialogue Earth,2019,2019-04-25,Dialogue Earth,Mexico,"Mexicali, Baja California",,Constellation Brands brewery project,"Mexicali residents, farmers, water users, Mexicali Resiste",water_extraction_or_competition,procedural_injustice,water_use,Planned brewery water demand in a water-scarce agricultural region,unclear,industrial brewery construction / supply chain exports,"Spanish-language reporting describes opposition to a large Constellation Brands brewery in Mexicali, where residents and farmers argued the project threatened scarce water resources and mobilized to stop the brewery.",With Mexicali residents trying to stop one of Mexico’s largest breweries because of its water use.,Spanish news/reporting with community conflict details,Opposition documented; subsequent public consultation and cancellation require additional records,"Water allocation, land use, and public consultation context",high,medium,,https://dialogue.earth/es/agua/26653-en-baja-california-escogen-entre-agua-y-cerveza/,sources/news/NEWS_2019_MX_constellation-mexicali-water_N005.md,landing_page_only,metadata_only_capture_blocked,no,no,no,,2026-06-26,Spanish-language source; original title/excerpt and English equivalent included. Page represented as metadata/evidence Markdown only.,Spanish,En Baja California escogen entre agua y cerveza,"In Baja California, they choose between water and beer",Con residentes de Mexicali intentando detener una de las cerveceras más grandes de México por su uso de agua.,With Mexicali residents trying to stop one of Mexico’s largest breweries because of its water use.,Agent-provided English equivalent for evidence coding; original title and excerpt retained.
